ticker,company,source_type,url,crawler_grade,needs_js,checked_at,http_status,final_url,title,fetch_error,page_years_2010_2023,option_years_2010_2023,train_year_hints_2010_2021,test_year_hints_2021_2023,same_site_historical_links_seen,sample_1_url,sample_1_status,sample_1_title,sample_1_years,sample_1_fulltext_like,sample_2_url,sample_2_status,sample_2_title,sample_2_years,sample_2_fulltext_like,historical_coverage_grade,historical_coverage_note
CSCO,Cisco,press_releases_archive,https://investor.cisco.com/news/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:04Z,200,https://investor.cisco.com/news/default.aspx,Cisco Systems Inc. - News,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
CVX,Chevron,company_news_archive,https://chevroncorp.gcs-web.com/news-releases,browser_or_api_needed,yes,2026-05-13T11:27:18Z,,,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=14)",,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
CVX,Chevron,investor_relations,https://chevroncorp.gcs-web.com/,browser_or_api_needed,yes,2026-05-13T11:27:19Z,,,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=14)",,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
CVX,Chevron,press_releases_archive,https://chevroncorp.gcs-web.com/news-releases,browser_or_api_needed,yes,2026-05-13T11:27:18Z,,,,"ReadTimeout: HTTPSConnectionPool(host='chevroncorp.gcs-web.com', port=443): Read timed out. (read timeout=14)",,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
DIS,Walt Disney,company_news_archive,https://thewaltdisneycompany.com/news/,crawler_ready,no,2026-05-13T11:27:06Z,200,https://thewaltdisneycompany.com/news/,News | The Walt Disney Company,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
DIS,Walt Disney,earnings_results_archive,https://thewaltdisneycompany.com/investor-relations/#financials,browser_or_api_needed,yes,2026-05-13T11:27:06Z,200,https://investors.thewaltdisneycompany.com/#financials,The Walt Disney Company - Investor Relations,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
DIS,Walt Disney,investor_relations,https://thewaltdisneycompany.com/investor-relations/,browser_or_api_needed,yes,2026-05-13T11:27:06Z,200,https://investors.thewaltdisneycompany.com/,The Walt Disney Company - Investor Relations,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
GS,Goldman Sachs,company_news_archive,https://www.goldmansachs.com/pressroom,crawler_ready,no,2026-05-13T11:27:07Z,200,https://www.goldmansachs.com/pressroom,Pressroom | Goldman Sachs,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
GS,Goldman Sachs,earnings_results_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,crawler_ready,no,2026-05-13T11:27:07Z,200,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,Quarterly Earnings Releases | Goldman Sachs,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
GS,Goldman Sachs,press_releases_archive,https://www.goldmansachs.com/pressroom/,crawler_ready,no,2026-05-13T11:27:07Z,200,https://www.goldmansachs.com/pressroom/,Pressroom | Goldman Sachs,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
HD,Home Depot,company_news_archive,https://corporate.homedepot.com/page/newsroom,crawler_ready,no,2026-05-13T11:27:09Z,200,https://corporate.homedepot.com/page/newsroom,Newsroom | The Home Depot,,,,,2023,2,https://ir.homedepot.com/news-releases/2023,200,News Releases 2023 | The Home Depot,2019|2020|2021|2022|2023,True,https://ir.homedepot.com/financial-reports/quarterly-earnings/2023,200,Quarterly Earnings 2023 | The Home Depot,2016|2017|2018|2019|2020|2021|2022|2023,True,confirmed_historical_fulltext,At least one 2010-2021 detail page was fetched and looks like full text.
HD,Home Depot,earnings_results_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings,browser_or_api_needed,yes,2026-05-13T11:27:11Z,200,https://ir.homedepot.com/financial-reports/quarterly-earnings/2025,Quarterly Earnings 2025 | The Home Depot,,2016|2017|2018|2019|2020|2021|2022|2023,,2016|2017|2018|2019|2020|2021,2021|2022|2023,9,https://ir.homedepot.com/financial-reports/quarterly-earnings/2021,200,Quarterly Earnings 2021 | The Home Depot,2016|2017|2018|2019|2020|2021|2022|2023,True,https://ir.homedepot.com/financial-reports/quarterly-earnings/2020,200,Quarterly Earnings 2020 | The Home Depot,2016|2017|2018|2019|2020|2021|2022|2023,True,confirmed_historical_fulltext,At least one 2010-2021 detail page was fetched and looks like full text.
HD,Home Depot,press_releases_archive,https://ir.homedepot.com/news-releases,browser_or_api_needed,yes,2026-05-13T11:27:10Z,200,https://ir.homedepot.com/news-releases/2026,News Releases 2026 | The Home Depot,,2019|2020|2021|2022|2023,,2019|2020|2021,2021|2022|2023,6,https://ir.homedepot.com/news-releases/2021,200,News Releases 2021 | The Home Depot,2019|2020|2021|2022|2023,True,https://ir.homedepot.com/news-releases/2020,200,News Releases 2020 | The Home Depot,2019|2020|2021|2022|2023,True,confirmed_historical_fulltext,At least one 2010-2021 detail page was fetched and looks like full text.
HON,Honeywell,company_news_archive,https://www.honeywell.com/us/en/news,crawler_ready,no,2026-05-13T11:27:12Z,200,https://www.honeywell.com/us/en/news,News & Insights | Honeywell,,,,2021,2021,2,https://www.honeywell.com/us/en/news/2021/11/methane-what-is-it-and-why-is-it-bad,200,What is Methane And Why Is It Bad?,2021,True,https://www.honeywell.com/us/en/news/2021/11/methane-what-is-it-and-why-is-it-bad,200,What is Methane And Why Is It Bad?,2021,True,confirmed_historical_fulltext,At least one 2010-2021 detail page was fetched and looks like full text.
HON,Honeywell,earnings_results_archive,https://honeywell.gcs-web.com/financial-information/quarterly-results,browser_or_api_needed,yes,2026-05-13T11:27:25Z,,,,"ReadTimeout: HTTPSConnectionPool(host='honeywell.gcs-web.com', port=443): Read timed out. (read timeout=14)",,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
HON,Honeywell,press_releases_archive,https://www.honeywell.com/newsroom/pressreleases/?page=1,crawler_ready,no,2026-05-13T11:27:12Z,200,https://www.honeywell.com/us/en/press?page=1,Press & Media | Honeywell,,,,,,0,,,,,,,,,,,no_2010_2021_evidence,No train-window evidence found by direct HTML scan.
IBM,IBM,company_news_archive,https://newsroom.ibm.com/announcements,crawler_ready,no,2026-05-13T11:27:12Z,200,https://newsroom.ibm.com/announcements,IBM - Announcements,,2016|2021|2022|2023,2021|2022|2023,2016|2021,2021|2022|2023,0,,,,,,,,,,,weak_historical_hint,"Only weak train-period hints, no good detail link found."
