ticker,company,source_type,url,hits_years,hit_count,hit_2010,hit_2015,hit_2021,sample_hits,pattern_probe_grade
IBM,IBM,earnings_results_archive,https://www.ibm.com/investor/financial-reporting/quarterly-earnings,2010|2015|2021,3,True,True,True,2010 200 Investor Relations | IBM -> https://www.ibm.com/investor || 2015 200 Investor Relations | IBM -> https://www.ibm.com/investor || 2021 200 Investor Relations | IBM -> https://www.ibm.com/investor,old_and_recent_pattern
IBM,IBM,investor_relations,https://www.ibm.com/investor,2010|2015|2021,3,True,True,True,2010 200 Investor Relations | IBM -> https://www.ibm.com/investor || 2015 200 Investor Relations | IBM -> https://www.ibm.com/investor || 2021 200 Investor Relations | IBM -> https://www.ibm.com/investor,old_and_recent_pattern
INTC,Intel,company_news_archive,https://www.intel.com/content/www/us/en/newsroom/home.html,,0,False,False,False,,no_pattern_hits
INTC,Intel,earnings_results_archive,https://www.intc.com/news-events/press-releases?category=financial,2010|2015|2021,3,True,True,True,2010 200 Press Releases :: Intel Corporation (INTC) -> https://www.intc.com/news-events/press-releases?category=financial&year=2010 || 2015 200 Press Releases :: Intel Corporation (INTC) -> https://www.intc.com/news-events/press-releases?category=financial&year=2015 || 2021 200 Press Releases :: Intel Corporation (INTC) -> https://www.intc.com/news-events/press-releases?category=financial&year=2021,old_and_recent_pattern
INTC,Intel,press_releases_archive,https://www.intc.com/news-events/press-releases,2010|2015|2021,3,True,True,True,2010 200 Press Releases :: Intel Corporation (INTC) -> https://www.intc.com/news-events/press-releases?year=2010 || 2015 200 Press Releases :: Intel Corporation (INTC) -> https://www.intc.com/news-events/press-releases?year=2015 || 2021 200 Press Releases :: Intel Corporation (INTC) -> https://www.intc.com/news-events/press-releases?year=2021,old_and_recent_pattern
JNJ,Johnson & Johnson,company_news_archive,https://www.jnj.com/media-center/press-releases,,0,False,False,False,,no_pattern_hits
JNJ,Johnson & Johnson,earnings_results_archive,https://investor.jnj.com/financials/quarterly-results,,0,False,False,False,,no_pattern_hits
JNJ,Johnson & Johnson,press_releases_archive,https://www.jnj.com/media-center/press-releases/financial,,0,False,False,False,,no_pattern_hits
JPM,JPMorgan Chase,company_news_archive,https://www.jpmorganchase.com/newsroom/press-releases,2010|2015|2021,3,True,True,True,2010 200 Press Releases -> https://www.jpmorganchase.com/newsroom/press-releases?year=2010 || 2015 200 2015 -> https://www.jpmorganchase.com/newsroom/press-releases/2015 || 2021 200 2021 -> https://www.jpmorganchase.com/newsroom/press-releases/2021,old_and_recent_pattern
JPM,JPMorgan Chase,earnings_results_archive,https://www.jpmorganchase.com/ir/quarterly-earnings,2010|2015|2021,3,True,True,True,2010 200 Quarterly Earnings | JPMorganChase -> https://www.jpmorganchase.com/ir/quarterly-earnings?year=2010 || 2015 200 Quarterly Earnings | JPMorganChase -> https://www.jpmorganchase.com/ir/quarterly-earnings?year=2015 || 2021 200 Quarterly Earnings | JPMorganChase -> https://www.jpmorganchase.com/ir/quarterly-earnings?year=2021,old_and_recent_pattern
JPM,JPMorgan Chase,investor_relations,https://www.jpmorganchase.com/ir,2010|2015|2021,3,True,True,True,2010 200 Investor Relations | JPMorganChase -> https://www.jpmorganchase.com/ir?year=2010 || 2015 200 Investor Relations | JPMorganChase -> https://www.jpmorganchase.com/ir?year=2015 || 2021 200 Investor Relations | JPMorganChase -> https://www.jpmorganchase.com/ir?year=2021,old_and_recent_pattern
KO,Coca-Cola,company_news_archive,https://www.coca-colacompany.com/media-center,2010|2015|2021,3,True,True,True,2010 200 Media Center -> https://www.coca-colacompany.com/media-center-?year=2010 || 2015 200 Media Center -> https://www.coca-colacompany.com/media-center-?year=2015 || 2021 200 Media Center -> https://www.coca-colacompany.com/media-center-?year=2021,old_and_recent_pattern
